iter	RMSE
0	11817.4295
1	11539.81445
2	11243.70051
3	10934.20465
4	10653.37167
5	10420.77479
6	10161.79142
7	9876.471366
8	9614.979361
9	9353.568985
10	9143.178779
11	8932.858572
12	8708.546547
13	8493.470711
14	8282.082936
15	8083.445222
16	7906.842687
17	7744.823673
18	7587.341109
19	7431.972898
20	7288.671317
21	7140.234276
22	7002.520641
23	6871.174105
24	6749.494254
25	6622.408722
26	6513.343927
27	6401.601382
28	6306.933991
29	6208.004063
30	6119.427237
31	6040.268673
32	5963.202299
33	5887.231839
34	5808.224368
35	5732.68312
36	5685.823381
37	5620.362263
38	5567.657228
39	5506.203738
40	5445.994614
41	5396.677196
42	5356.86557
43	5307.707182
44	5257.030819
45	5213.346791
46	5170.833994
47	5133.303035
48	5099.038272
49	5067.664835
50	5031.611861
51	4996.533825
52	4964.843565
53	4927.094696
54	4897.214066
55	4873.148155
56	4846.247194
57	4828.2984
58	4801.293811
59	4777.544756
60	4757.612642
61	4736.735032
62	4715.029434
63	4695.16081
64	4673.97874
65	4652.19931
66	4634.791107
67	4614.51606
68	4598.134113
69	4584.846502
70	4569.032587
71	4552.641065
72	4534.934154
73	4522.824224
74	4512.127275
75	4497.717272
76	4484.347533
77	4471.953627
78	4458.398227
79	4447.283699
80	4441.056817
81	4427.093318
82	4417.490422
83	4408.355508
84	4399.699619
85	4393.274909
86	4384.354096
87	4373.359483
88	4363.546049
89	4354.401203
90	4348.590901
91	4340.49919
92	4328.0252
93	4322.145465
94	4312.570792
95	4304.989554
96	4298.672637
97	4291.923766
98	4285.545668
99	4280.134533
100	4274.714161
101	4264.012576
102	4259.873387
103	4255.161384
104	4252.076368
105	4246.733339
106	4242.593405
107	4239.316094
108	4234.4834
109	4228.990516
110	4221.067781
111	4214.390432
112	4210.488631
113	4205.785339
114	4201.462999
115	4195.710992
116	4187.193251
117	4182.619615
118	4174.194994
119	4166.641006
120	4158.309876
121	4152.801918
122	4148.227528
123	4144.087402
124	4139.295951
125	4134.092168
126	4131.275706
127	4127.066532
128	4124.61916
129	4121.723845
130	4116.407763
131	4112.166901
132	4107.491378
133	4105.094721
134	4103.984462
135	4099.298561
136	4095.796374
137	4091.989935
138	4088.530818
139	4085.412502
140	4081.707173
141	4076.661639
142	4072.094745
143	4067.06337
144	4061.597563
145	4054.279436
146	4046.955215
147	4041.803835
148	4038.081152
149	4034.322712
150	4031.459714
151	4028.978524
152	4026.410057
153	4022.893453
154	4017.579247
155	4015.096164
156	4011.179482
157	4006.062684
158	3997.962393
159	3993.791768
160	3988.89037
161	3983.343944
162	3980.722307
163	3978.427563
164	3976.113889
165	3975.41155
166	3968.661539
167	3963.997378
168	3961.426869
169	3959.267818
170	3954.657743
171	3950.547792
172	3948.2071
173	3939.796027
174	3934.449012
175	3930.908833
176	3927.014996
177	3924.302334
178	3921.191115
179	3915.479701
180	3912.599086
181	3908.38887
182	3904.377866
183	3900.819928
184	3895.094864
185	3888.297466
186	3883.824021
187	3881.327955
188	3875.574897
189	3869.316742
190	3865.694121
191	3859.707537
192	3855.562041
193	3852.390752
194	3845.659154
195	3842.318652
196	3840.402223
197	3837.480887
198	3833.743772
199	3830.800957
200	3827.09532
201	3824.951193
202	3822.105827
203	3820.038875
204	3814.867195
205	3812.135005
206	3809.656874
207	3805.56517
208	3803.960475
209	3801.700945
210	3797.518678
211	3794.726042
212	3790.676854
213	3786.43278
214	3780.865443
215	3778.032239
216	3775.399541
217	3772.869165
218	3767.678413
219	3763.338511
220	3759.589097
221	3757.53602
222	3753.634388
223	3750.585289
224	3746.970243
225	3743.760273
226	3741.894319
227	3738.459984
228	3732.694968
229	3729.10837
230	3725.774536
231	3723.916893
232	3720.921136
233	3718.889249
234	3715.230579
235	3712.646805
236	3709.297689
237	3706.877225
238	3702.758507
239	3700.379428
240	3694.919078
241	3691.216431
242	3689.016552
243	3683.56935
244	3679.493093
245	3676.48364
246	3673.087598
247	3669.468458
248	3663.980775
249	3657.323879
250	3654.549855
251	3651.513792
252	3646.742715
253	3643.28679
254	3640.986931
255	3635.719953
256	3633.682711
257	3631.93752
258	3627.916509
259	3625.588976
260	3622.959371
261	3617.503359
262	3615.153083
263	3611.544417
264	3607.28278
265	3605.522676
266	3602.502978
267	3599.782747
268	3596.564448
269	3594.569082
270	3591.991643
271	3589.94501
272	3586.546948
273	3584.722311
274	3582.637583
275	3578.715657
276	3576.649596
277	3573.423259
278	3571.072067
279	3567.410308
280	3565.107322
281	3562.668745
282	3559.820205
283	3558.624278
284	3557.179577
285	3554.1442
286	3552.56145
287	3547.099879
288	3543.716859
289	3542.160673
290	3539.075167
291	3534.845571
292	3531.505006
293	3529.439129
294	3528.523465
295	3525.009714
296	3524.10833
297	3521.717418
298	3519.415177
299	3517.604765
300	3514.143643
301	3511.076385
302	3507.600662
303	3502.706954
304	3501.353937
305	3500.472581
306	3498.457204
307	3493.808203
308	3489.977784
309	3488.297137
310	3487.199274
311	3484.468077
312	3482.495772
313	3479.49502
314	3475.8222
315	3471.583286
316	3467.894638
317	3466.238926
318	3464.433121
319	3462.631771
320	3460.382574
321	3458.437022
322	3455.220069
323	3451.757068
324	3448.977478
325	3447.645921
326	3445.98392
327	3444.422874
328	3443.140335
329	3440.368024
330	3437.633628
331	3435.811158
332	3432.245743
333	3429.836972
334	3426.625672
335	3424.737916
336	3421.995683
337	3419.382923
338	3417.511861
339	3414.171664
340	3411.998471
341	3410.238447
342	3407.415651
343	3405.71023
344	3400.762848
345	3399.290484
346	3395.959341
347	3394.086506
348	3390.962188
349	3387.046082
350	3385.231026
351	3381.501985
352	3376.819697
353	3374.972633
354	3374.031766
355	3371.536232
356	3370.041885
357	3367.541875
358	3365.032351
359	3363.657584
360	3361.365592
361	3357.380658
362	3355.859985
363	3354.167261
364	3353.293431
365	3351.628537
366	3350.009869
367	3348.157338
368	3345.101336
369	3341.318418
370	3340.457163
371	3339.066325
372	3336.270191
373	3333.933727
374	3333.26987
375	3329.07354
376	3325.710959
377	3320.968257
378	3317.710865
379	3316.380586
380	3315.077867
381	3312.586189
382	3311.247887
383	3309.881862
384	3308.317542
385	3305.777112
386	3304.227969
387	3301.863015
388	3299.813515
389	3298.445176
390	3296.136247
391	3294.530045
392	3292.23514
393	3290.500814
394	3289.19757
395	3287.067844
396	3283.504876
397	3281.546895
398	3278.689128
399	3275.273307
400	3270.877599
401	3269.482255
402	3268.275979
403	3266.13988
404	3264.88139
405	3261.04367
406	3260.039407
407	3257.817464
408	3256.391201
409	3255.140349
410	3253.786655
411	3251.581218
412	3248.189313
413	3243.903824
414	3241.403478
415	3239.212177
416	3236.509219
417	3234.254611
418	3231.269112
419	3229.028945
420	3228.163163
421	3226.252041
422	3223.829399
423	3221.151701
424	3219.252806
425	3217.091741
426	3213.130656
427	3209.676738
428	3208.190358
429	3204.990416
430	3203.364057
431	3200.253581
432	3196.697023
433	3195.469215
434	3194.31174
435	3190.804229
436	3189.688935
437	3188.586753
438	3187.069378
439	3185.626465
440	3182.911626
441	3181.622335
442	3179.58577
443	3178.377524
444	3176.962941
445	3175.013615
446	3173.380772
447	3170.812208
448	3169.385547
449	3167.622171
450	3166.593125
451	3163.093305
452	3160.855766
453	3159.299333
454	3157.635445
455	3154.81228
456	3152.988695
457	3151.802872
458	3149.829061
459	3148.02935
460	3147.073218
461	3145.053609
462	3143.451885
463	3141.993181
464	3139.151249
465	3137.263768
466	3135.074073
467	3133.661616
468	3132.431083
469	3129.688904
470	3128.724835
471	3127.366025
472	3124.54421
473	3123.033525
474	3120.395545
475	3118.47571
476	3116.747434
477	3115.208607
478	3112.467519
479	3111.150229
480	3110.079729
481	3109.484298
482	3107.791913
483	3104.182771
484	3101.401781
485	3097.521099
486	3095.45995
487	3094.16162
488	3093.147595
489	3090.531195
490	3089.093373
491	3086.25681
492	3084.509239
493	3082.647294
494	3081.513933
495	3079.374884
496	3077.669248
497	3076.794973
498	3073.248228
499	3070.431311
500	3068.450195
501	3066.589245
502	3063.44141
503	3062.440426
504	3059.299036
505	3056.293118
506	3054.160781
507	3051.148695
508	3050.001766
509	3046.202751
510	3044.535183
511	3043.294653
512	3041.688202
513	3040.938999
514	3039.517101
515	3037.51932
516	3036.464656
517	3035.716354
518	3032.332379
519	3031.389619
520	3029.729898
521	3026.817682
522	3025.636419
523	3023.931165
524	3022.920266
525	3021.015091
526	3019.319845
527	3015.276713
528	3012.750201
529	3010.194922
530	3009.265497
531	3007.705766
532	3005.309296
533	3004.218618
534	3002.692253
535	3000.306033
536	2999.073515
537	2995.692963
538	2994.403703
539	2991.59824
540	2988.589698
541	2985.186813
542	2983.844679
543	2982.345762
544	2981.738153
545	2980.391944
546	2979.883156
547	2978.421772
548	2977.429899
549	2976.146718
550	2974.33845
551	2972.015649
552	2970.572205
553	2968.635553
554	2965.637474
555	2964.763241
556	2962.256519
557	2961.148766
558	2959.27749
559	2958.392993
560	2955.695072
561	2954.280348
562	2953.083843
563	2950.305782
564	2949.092215
565	2948.103028
566	2947.125303
567	2945.387125
568	2944.810114
569	2943.661852
570	2942.005993
571	2941.160257
572	2939.552815
573	2937.891051
574	2936.547141
575	2935.212716
576	2934.254451
577	2932.485311
578	2930.311455
579	2926.625373
580	2924.796217
581	2921.687393
582	2919.94985
583	2919.245322
584	2918.530579
585	2915.9703
586	2914.671708
587	2912.597385
588	2911.139414
589	2909.559544
590	2908.266971
591	2906.151079
592	2903.702303
593	2902.733709
594	2901.451107
595	2899.933391
596	2897.485745
597	2895.478476
598	2892.506629
599	2890.260675
600	2889.15733
601	2887.817391
602	2886.873915
603	2885.614464
604	2883.288809
605	2881.279461
606	2879.723216
607	2876.650011
608	2875.402299
609	2873.982008
610	2872.483229
611	2870.988221
612	2868.076133
613	2866.045741
614	2863.289656
615	2861.828616
616	2860.568689
617	2859.736055
618	2857.810991
619	2855.135988
620	2852.71322
621	2850.165159
622	2848.693705
623	2847.876911
624	2846.916469
625	2846.304768
626	2845.009689
627	2842.958908
628	2841.129982
629	2839.743774
630	2838.357204
631	2835.662975
632	2833.0742
633	2831.736404
634	2830.215428
635	2828.327334
636	2827.355986
637	2825.553843
638	2823.605964
639	2819.899811
640	2819.440382
641	2818.633192
642	2817.473732
643	2815.554754
644	2814.34341
645	2812.842736
646	2811.868166
647	2810.661734
648	2809.175052
649	2806.600493
650	2805.401231
651	2803.024795
652	2801.839281
653	2801.033999
654	2798.540019
655	2796.236424
656	2795.324767
657	2794.340848
658	2791.759248
659	2790.491104
660	2788.232873
661	2787.099776
662	2786.609206
663	2785.587518
664	2784.425327
665	2783.29369
666	2782.643752
667	2782.214154
668	2780.560953
669	2778.27104
670	2777.163106
671	2775.38975
672	2774.16754
673	2771.474387
674	2770.178445
675	2768.122933
676	2766.492012
677	2764.978381
678	2763.791938
679	2763.440664
680	2762.500561
681	2761.904893
682	2760.389623
683	2758.296084
684	2757.083489
685	2755.792295
686	2754.75875
687	2753.154834
688	2751.991732
689	2750.64385
690	2749.695315
691	2747.804827
692	2746.669717
693	2745.558088
694	2745.043738
695	2742.16789
696	2740.800723
697	2739.138136
698	2738.20417
699	2737.237188
700	2736.094781
701	2734.684885
702	2733.524074
703	2732.600573
704	2731.860314
705	2729.272248
706	2727.860171
707	2726.794393
708	2724.959105
709	2721.560704
710	2720.369687
711	2719.307963
712	2718.855915
713	2717.479975
714	2716.47056
715	2715.297714
716	2713.541091
717	2712.954378
718	2711.85729
719	2711.324194
720	2710.366103
721	2709.426141
722	2707.20401
723	2705.703016
724	2704.578062
725	2702.674633
726	2699.423266
727	2697.407257
728	2696.351037
729	2694.774288
730	2694.106073
731	2693.037637
732	2692.31285
733	2691.670262
734	2690.117759
735	2688.32722
736	2685.451548
737	2684.372041
738	2683.589506
739	2682.16436
740	2679.519328
741	2676.37023
742	2674.884569
743	2673.847748
744	2672.94301
745	2672.309449
746	2670.488426
747	2669.457495
748	2667.794514
749	2664.86545
750	2663.919355
751	2663.029514
752	2660.602469
753	2659.594372
754	2656.877378
755	2656.494119
756	2655.3935
757	2653.280125
758	2650.113887
759	2649.364462
760	2648.401043
761	2645.651323
762	2644.104501
763	2642.097229
764	2639.879326
765	2637.1215
766	2636.288854
767	2634.64471
768	2632.292445
769	2629.782577
770	2628.944048
771	2627.001223
772	2626.304897
773	2625.243065
774	2624.539044
775	2622.73017
776	2620.431218
777	2619.728277
778	2618.935523
779	2617.985572
780	2615.011855
781	2614.172606
782	2613.230808
783	2611.097229
784	2610.04081
785	2609.034102
786	2608.241913
787	2606.926225
788	2604.62361
789	2603.412253
790	2601.981698
791	2600.926214
792	2600.306299
793	2599.251111
794	2598.367974
795	2597.338126
796	2596.399315
797	2594.26094
798	2593.241299
799	2592.577526
800	2591.393009
801	2589.495791
802	2587.676697
803	2586.424952
804	2585.425029
805	2583.625042
806	2582.856113
807	2582.464134
808	2581.618502
809	2580.666408
810	2578.269805
811	2577.27118
812	2576.105692
813	2574.900517
814	2574.217824
815	2573.779119
816	2572.128628
817	2571.396208
818	2569.508366
819	2568.380028
820	2566.330341
821	2565.485206
822	2563.789927
823	2562.861877
824	2562.191151
825	2560.975003
826	2559.657343
827	2557.632982
828	2555.579481
829	2554.737248
830	2552.566969
831	2551.640894
832	2551.144699
833	2550.056923
834	2549.290839
835	2548.522483
836	2547.702121
837	2546.312435
838	2545.319145
839	2543.400345
840	2541.475877
841	2539.601563
842	2537.178578
843	2536.418397
844	2535.389372
845	2534.597462
846	2533.916253
847	2532.592532
848	2531.292661
849	2530.243199
850	2528.436195
851	2525.326826
852	2524.623299
853	2522.456141
854	2521.030931
855	2520.27645
856	2519.117626
857	2518.257278
858	2517.490089
859	2515.882734
860	2514.705699
861	2512.966678
862	2512.087172
863	2511.059789
864	2509.816419
865	2509.083815
866	2506.779781
867	2504.714075
868	2502.967796
869	2501.162396
870	2498.931147
871	2497.537059
872	2496.902911
873	2495.921386
874	2494.169059
875	2491.717158
876	2490.833051
877	2489.697377
878	2488.873569
879	2487.689692
880	2486.475716
881	2485.647855
882	2484.729962
883	2483.633069
884	2482.358734
885	2481.23276
886	2480.479498
887	2479.655567
888	2478.982997
889	2478.366019
890	2476.681633
891	2475.305719
892	2474.664464
893	2473.551589
894	2472.052501
895	2471.337914
896	2468.618288
897	2467.56172
898	2466.493299
899	2465.887381
900	2464.989984
901	2464.120272
902	2463.510143
903	2462.155944
904	2460.840785
905	2460.168227
906	2459.440703
907	2457.681886
908	2456.024515
909	2454.3882
910	2452.40459
911	2452.236516
912	2451.589828
913	2450.888524
914	2449.735676
915	2448.681961
916	2447.562173
917	2445.853008
918	2445.236127
919	2444.414192
920	2443.393771
921	2442.626991
922	2440.559623
923	2439.812139
924	2438.396233
925	2437.273656
926	2435.288748
927	2434.718097
928	2434.531256
929	2433.70017
930	2432.907897
931	2431.883926
932	2430.367978
933	2430.138516
934	2429.448
935	2427.896996
936	2427.201971
937	2425.988551
938	2423.85336
939	2422.659091
940	2419.779513
941	2418.424707
942	2415.974653
943	2415.299325
944	2414.660426
945	2412.681051
946	2411.70422
947	2410.990493
948	2410.217052
949	2408.190125
950	2407.212351
951	2406.54302
952	2405.962296
953	2404.914203
954	2402.226388
955	2401.631761
956	2400.791106
957	2400.253358
958	2398.028241
959	2395.91385
960	2394.853658
961	2393.516672
962	2392.950058
963	2391.721281
964	2391.197154
965	2390.513339
966	2388.506736
967	2387.77514
968	2387.448201
969	2385.752205
970	2385.094734
971	2384.440324
972	2383.247988
973	2381.155248
974	2379.018918
975	2378.352505
976	2377.683851
977	2377.092134
978	2376.448027
979	2376.123798
980	2373.536693
981	2372.390483
982	2370.030734
983	2367.445103
984	2366.739524
985	2365.818017
986	2364.892094
987	2364.228593
988	2362.553572
989	2361.758507
990	2360.464263
991	2359.958599
992	2358.802804
993	2357.542255
994	2356.795351
995	2355.662608
996	2353.72668
997	2352.461567
998	2349.639577
999	2348.847563
