iter	Passed	Remaining
0	1	1514
1	2	1026
2	3	1203
3	5	1247
4	8	1622
5	8	1434
6	10	1505
7	16	2030
8	17	1949
9	18	1846
10	20	1834
11	23	1918
12	25	1964
13	27	1946
14	29	1917
15	30	1889
16	32	1875
17	35	1911
18	38	1980
19	40	1970
20	42	1958
21	43	1921
22	44	1884
23	45	1869
24	48	1890
25	50	1878
26	162	5849
27	164	5710
28	174	5853
29	176	5705
30	178	5575
31	179	5423
32	180	5279
33	182	5172
34	191	5287
35	193	5184
36	194	5051
37	195	4944
38	195	4828
39	197	4744
40	201	4717
41	203	4639
42	204	4549
43	209	4555
44	211	4491
45	249	5180
46	253	5146
47	256	5094
48	259	5027
49	259	4938
50	263	4908
51	269	4908
52	270	4830
53	271	4763
54	273	4699
55	275	4650
56	307	5084
57	308	5017
58	310	4955
59	312	4898
60	315	4854
61	317	4806
62	319	4750
63	321	4704
64	325	4679
65	328	4648
66	330	4601
67	332	4556
68	334	4515
69	337	4481
70	339	4445
71	342	4411
72	344	4376
73	349	4367
74	351	4329
75	411	4999
76	416	4989
77	418	4943
78	420	4899
79	422	4862
80	424	4813
81	426	4774
82	438	4844
83	441	4818
84	453	4884
85	457	4865
86	459	4827
87	464	4810
88	499	5111
89	501	5074
90	506	5059
91	512	5062
92	515	5025
93	518	5000
94	520	4962
95	522	4923
96	527	4908
97	529	4876
98	531	4840
99	533	4804
100	535	4770
101	538	4738
102	546	4762
103	549	4730
104	552	4709
105	554	4673
106	558	4660
107	563	4653
108	565	4620
109	567	4588
110	568	4555
111	570	4522
112	573	4503
113	575	4473
114	577	4444
115	579	4414
116	582	4392
117	583	4362
118	585	4331
119	587	4311
120	589	4282
121	591	4254
122	592	4226
123	594	4198
124	596	4173
125	597	4147
126	600	4128
127	603	4112
128	605	4086
129	606	4061
130	608	4036
131	610	4012
132	611	3989
133	613	3964
134	614	3936
135	616	3915
136	620	3906
137	621	3882
138	623	3862
139	625	3840
140	626	3818
141	628	3796
142	629	3774
143	631	3753
144	637	3757
145	639	3739
146	641	3719
147	642	3699
148	644	3678
149	645	3658
150	647	3639
151	649	3625
152	651	3606
153	653	3590
154	656	3577
155	657	3559
156	659	3541
157	661	3522
158	662	3503
159	665	3493
160	667	3477
161	668	3459
162	670	3442
163	672	3426
164	674	3411
165	675	3391
166	676	3374
167	678	3357
168	680	3346
169	682	3332
170	684	3316
171	685	3301
172	686	3283
173	691	3281
174	692	3266
175	696	3259
176	698	3246
177	699	3231
178	701	3216
179	702	3201
180	704	3187
181	706	3173
182	708	3161
183	709	3148
184	711	3134
185	713	3121
186	714	3107
187	716	3093
188	717	3080
189	719	3067
190	721	3056
191	726	3058
192	728	3044
193	729	3032
194	731	3019
195	732	3006
196	734	2995
197	736	2983
198	740	2979
199	742	2968
200	743	2956
201	745	2944
202	746	2931
203	748	2919
204	750	2909
205	751	2897
206	753	2886
207	755	2878
208	757	2866
209	759	2856
210	761	2848
211	763	2838
212	765	2827
213	766	2815
214	768	2804
215	771	2800
216	775	2798
217	777	2790
218	779	2779
219	781	2769
220	784	2766
221	786	2757
222	789	2752
223	791	2741
224	792	2731
225	794	2721
226	796	2711
227	799	2707
228	801	2698
229	804	2694
230	806	2685
231	808	2675
232	809	2665
233	811	2656
234	812	2646
235	816	2643
236	822	2646
237	823	2637
238	825	2628
239	826	2618
240	828	2609
241	839	2628
242	840	2619
243	842	2609
244	843	2599
245	846	2595
246	848	2586
247	849	2577
248	851	2568
249	853	2560
250	857	2557
251	858	2549
252	860	2540
253	864	2538
254	865	2528
255	867	2519
256	868	2511
257	870	2503
258	872	2495
259	875	2492
260	879	2490
261	880	2481
262	882	2473
263	884	2464
264	885	2456
265	887	2447
266	888	2440
267	891	2434
268	893	2426
269	894	2418
270	896	2410
271	897	2402
272	899	2394
273	900	2386
274	902	2379
275	904	2371
276	906	2366
277	908	2358
278	910	2351
279	912	2345
280	913	2337
281	915	2330
282	916	2323
283	918	2316
284	922	2313
285	925	2311
286	929	2308
287	930	2301
288	932	2294
289	934	2287
290	935	2280
291	939	2276
292	940	2269
293	942	2262
294	943	2255
295	946	2251
296	948	2244
297	949	2237
298	952	2233
299	954	2226
300	955	2219
301	957	2212
302	958	2205
303	961	2200
304	962	2193
305	965	2188
306	967	2184
307	969	2177
